adsorption_energy,adsorbed_molecule,adsorbed_molecule_encoded
-17.612839,CH4,2
-16.133083,CH4,2
-15.86468,CH4,2
-16.199053,CH4,2
-20.094685,CH4,2
-14.569719,CH4,2
-15.983493,CH4,2
-17.44585,CH4,2
-19.831633,CH4,2
-17.773223,CH4,2
-15.926632,CH4,2
-19.974307,CH4,2
-16.825806,CH4,2
-16.404612,CH4,2
-15.102052,CH4,2
-20.962381,CH4,2
-19.916858,CH4,2
-19.03948,CH4,2
-14.712739,CH4,2
-16.108769,CH4,2
-17.492876,CH4,2
-16.637491,CH4,2
-19.540084,CH4,2
-16.645664,CH4,2
-16.758871,CH4,2
-18.068515,CH4,2
-16.933761,CH4,2
-20.202331,CH4,2
-16.240035,CH4,2
-15.249633,CH4,2
-19.392272,CH4,2
-16.983338,CH4,2
-16.629391,CH4,2
-18.890595,CH4,2
-17.342647,CH4,2
-17.968525,CH4,2
-22.125716,CH4,2
-19.300702,CH4,2
-18.055926,CH4,2
-18.013003,CH4,2
-15.274117,CH4,2
-17.378364,CH4,2
-20.91496,CH4,2
-16.629799,CH4,2
-18.040553,CH4,2
-21.644001,CH4,2
-16.945902,CH4,2
-15.478905,CH4,2
-15.280288,CH4,2
-18.569712,CH4,2
-20.549756,CH4,2
-19.458486,CH4,2
-18.154155,CH4,2
-20.112191,CH4,2
-14.391112,CH4,2
-18.290684,CH4,2
-19.673828,CH4,2
-17.23514,CH4,2
-19.821457,CH4,2
-20.211442,CH4,2
-15.126428,CH4,2
-18.348267,CH4,2
-17.665572,CH4,2
-16.067943,CH4,2
-26.496781,CH4,2
-17.77541,CH4,2
-16.949103,CH4,2
-16.635762,CH4,2
-19.706042,CH4,2
-19.250903,CH4,2
-22.537518,CH4,2
-17.54778,CH4,2
-17.209964,CH4,2
-18.120633,CH4,2
-19.601017,CH4,2
-21.571021,CH4,2
-16.280137,CH4,2
-13.64699,CH4,2
-17.680381,CH4,2
-15.286646,CH4,2
-16.962235,CH4,2
-21.839897,CH4,2
-16.603926,CH4,2
-18.270371,CH4,2
-22.961087,CH4,2
-17.696612,CH4,2
-19.262682,CH4,2
-17.314141,CH4,2
-18.775642,CH4,2
-15.712348,CH4,2
-22.179807,CH4,2
